#SampleID	plot	Caged	Nutrients	Coral	Genus	Species	initial_diameter_cm	tissue_change_score	tissue_change_percent	dead_by_end	pfish_bites	binary_tissue_loss	tissue_loss	DSS	Dictytoa	Amphiroa	Sargassum	Halimeda	Turf	Sediment	Cyanobacteria	Algae	AlgaeAndSediment	Bleached
2NU1_PA5	2	0	1	PA5	Porites	P porites	3	0	0	No	No	No	No change	No	Yes	No	No	No	No	No	Yes	Yes	No	No
2NU1_PA8	2	0	1	PA8	Porites	P porites	2	-6	-100	Yes 	Yes	Yes	Loss	No	Yes	Yes	No	No	Yes	No	No	Yes	No	No
2NU1_PP1	2	0	1	PP1	Porites	P porites	5	-6	-100	Yes 	Yes	Yes	Loss	No	No	No	No	No	Yes	No	No	Yes	Yes	No
2NU2_PA2	2	0	1	PA2	Porites	P porites	4	-6	-100	Yes 	Yes	Yes	Loss	No	Yes	Yes	No	No	Yes	No	No	Yes	Yes	No
2NU2_PA3	2	0	1	PA3	Porites	P porites	3	6	100	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
2NU2_PA5	2	0	1	PA5	Porites	P porites	2	-6	-100	Yes 	Yes	Yes	Loss	No	Yes	No	No	No	Yes	No	No	Yes	Yes	No
2NU2_PA6	2	0	1	PA6	Porites	P porites	2.5	-6	-100	Yes 	Yes	Yes	Loss	No	No	No	No	No	No	No	Yes	Yes	No	No
2NU2_PA7	2	0	1	PA7	Porites	P astreoides	2.5	-6	-100	Yes 	Yes	Yes	Loss	No	Yes	No	No	No	No	Yes	No	Yes	No	No
2NU2_PA8	2	0	1	PA8	Porites	P branneri	2.5	4	62	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
2NU2_PA9	2	0	1	PA9	Porites	P porites	1.5	-6	-100	Yes 	Yes	Yes	Loss	No	Yes	No	No	No	No	No	No	Yes	No	No
2NU2_PP1	2	0	1	PP1	Porites	P astreoides	2	-6	-100	Yes 	Yes	Yes	Loss	No	No	No	No	No	No	No	No	No	No	No
3CC1_PA2	3	1	0	PA2	Porites	P astreoides	2.5	2	18	No	No	No	Gain	No	Yes	Yes	No	No	No	No	No	Yes	No	No
3CC1_PP1	3	1	0	PP1	Porites	P porites	3	-6	-100	Yes 	No	Yes	Loss	No	Yes	Yes	No	No	Yes	No	No	Yes	Yes	No
3CC1_PP2	3	1	0	PP2	Porites	P porites	2.5	-6	-100	Yes 	No	Yes	Loss	No	Yes	Yes	No	No	Yes	No	No	Yes	Yes	No
3CC1_PP4	3	1	0	PP4	Porites	P porites	4	-6	-100	Yes 	No	Yes	Loss	No	No	Yes	No	No	No	No	No	Yes	No	No
3CC1_SS3	3	1	0	SS3	Siderastrea	S siderea	1.5	1	5	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
3CC1_ST1	3	1	0	ST1	Stephanocoenia	Stephanocoenia	7	2	18	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
3CC2_PP2	3	1	0	PP2	Porites	P porites	2.5	-3	-37	No	No	Yes	Loss	No	No	No	No	No	Yes	Yes	No	Yes	Yes	No
3CU1_DC1	3	0	0	DC1	Dichocoenia	Dichocoenia	2.5	2	18	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
3CU1_PA2	3	0	0	PA2	Porites	P porites	2	1	5	No	No	No	Gain	No	No	No	No	No	Yes	Yes	No	Yes	Yes	No
3CU2_DC1	3	0	0	DC1	Dichocoenia	Dichocoenia	1.5	6	250	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
3CU2_SS1	3	0	0	SS1	Siderastrea	S siderea	1.5	1	5	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
3CU2_SS2	3	0	0	SS2	Siderastrea	S siderea	1.5	4	62	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
3NC1_PA1	3	1	1	PA1	Porites	P porites	3	0	0	No	No	No	No change	No	No	No	No	No	No	No	No	No	No	No
3NC1_PA3	3	1	1	PA3	Porites	P porites	2.5	-6	-100	Yes 	No	Yes	Loss	No	No	Yes	No	No	Yes	Yes	No	Yes	Yes	No
3NC1_PA4	3	1	1	PA4	Porites	P porites	3	-6	-100	Yes 	No	Yes	Loss	No	No	No	No	Yes	No	No	No	Yes	No	No
3NC2_AG1	3	1	1	AG1	Agaricia	A humilis	2.5	-6	-100	Yes 	No	Yes	Loss	No	Yes	Yes	No	No	Yes	Yes	No	Yes	Yes	No
3NC2_PA2	3	1	1	PA2	Porites	P porites	2	-6	-100	Yes 	No	Yes	Loss	No	No	No	No	No	Yes	No	No	Yes	Yes	No
3NC2_SS2	3	1	1	SS2	Siderastrea	S siderea	4	0	0	No	No	No	No change	No	No	No	No	No	No	Yes	No	No	No	No
3NU1_AG1	3	0	1	AG1	Agaricia	A humilis	2	2	18	No	No	No	Gain	No	Yes	No	No	No	No	Yes	No	Yes	Yes	No
3NU1_PA1	3	0	1	PA1	Porites	P porites	2	-6	-100	Yes 	Yes	Yes	Loss	No	No	No	No	No	No	No	No	No	No	No
3NU1_PA2	3	0	1	PA2	Porites	P porites	2	1	5	No	No	No	Gain	No	No	No	No	No	Yes	No	No	Yes	No	No
3NU1_PA3	3	0	1	PA3	Porites	P porites	3	-2	-18	No	Yes	Yes	Loss	No	No	No	No	No	No	No	No	No	No	No
3NU1_PP1	3	0	1	PP1	Porites	P porites	7	-3	-37	No	Yes	Yes	Loss	No	No	No	No	No	No	No	No	No	No	No
3NU1_PP2	3	0	1	PP2	Porites	P porites	4	-1	-5	No	Yes	Yes	Loss	No	No	No	No	No	Yes	Yes	No	Yes	Yes	No
3NU1_SS3	3	0	1	SS3	Siderastrea	S siderea	2	1	5	No	No	No	Gain	No	No	No	No	No	No	Yes	No	No	No	No
3NU1_SS4	3	0	1	SS4	Siderastrea	S siderea	2	1	5	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
3NU2_AG1	3	0	1	AG1	Agaricia	A agaricites	2.5	-6	-100	Yes 	No	Yes	Loss	No	Yes	No	No	No	No	No	No	Yes	No	No
3NU2_PA1	3	0	1	PA1	Porites	P porites	6	-6	-100	Yes 	Yes	Yes	Loss	No	No	No	No	No	No	No	No	No	No	No
3NU2_PA3	3	0	1	PA3	Porites	P porites	2	-6	-100	Yes 	Yes	Yes	Loss	No	Yes	No	No	No	Yes	Yes	No	Yes	Yes	No
3NU2_PA4	3	0	1	PA4	Porites	P astreoides	3	-6	-100	Yes 	Yes	Yes	Loss	No	No	No	No	No	No	No	No	No	No	No
3NU2_PA5	3	0	1	PA5	Porites	P porites	2.5	2	18	No	No	No	Gain	No	Yes	Yes	No	No	Yes	Yes	No	Yes	Yes	No
4CC1_MC1	4	1	0	MC1		M cavernosa	1.5	-6	-100	Yes 	No	Yes	Loss	No	No	No	No	No	No	Yes	No	No	No	No
4CC1_MC2	4	1	0	MC2		M cavernosa	2	1	5	No	No	No	Gain	No	No	No	No	Yes	Yes	Yes	No	Yes	Yes	No
4CC1_PA2	4	1	0	PA2	Porites	P astreoides	1.5	-6	-100	Yes 	No	Yes	Loss	No	No	No	No	No	Yes	No	No	Yes	Yes	No
4CC1_SS3	4	1	0	SS3	Siderastrea	S siderea	2.5	-1	-5	No	No	Yes	Loss	No	Yes	No	Yes	No	Yes	No	No	Yes	No	No
4CC1_ST1	4	1	0	ST1	Stephanocoenia	Stephanocoenia	2	-6	-100	Yes 	No	Yes	Loss	No	Yes	Yes	No	No	Yes	Yes	No	Yes	Yes	No
4CC2_DC1	4	1	0	DC1	Dichocoenia	Dichocoenia	2	0	0	No	No	No	No change	No	No	No	No	No	No	No	No	No	No	No
4CC2_MC1	4	1	0	MC1		M cavernosa	3	-6	-100	Yes 	No	Yes	Loss	No	No	Yes	No	No	No	No	No	Yes	No	No
4CC2_SS1	4	1	0	SS1	Siderastrea	S siderea	10	0	0	No	No	No	No change	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes	Yes	No
4CC2_ST1	4	1	0	ST1	Stephanocoenia	Stephanocoenia	10	-1	-5	No	No	Yes	Loss	No	Yes	Yes	No	No	Yes	Yes	No	Yes	Yes	No
4CC2_ST2	4	1	0	ST2	Stephanocoenia	Stephanocoenia	3	-6	-100	Yes 	No	Yes	Loss	No	No	No	No	No	Yes	Yes	No	Yes	Yes	No
