#SampleID	plot	Caged	Nutrients	Coral	Genus	Species	initial_diameter_cm	tissue_change_score	tissue_change_percent	dead_by_end	pfish_bites	binary_tissue_loss	tissue_loss	DSS	Dictytoa	Amphiroa	Sargassum	Halimeda	Turf	Sediment	Cyanobacteria	Algae	AlgaeAndSediment	Bleached
82	3	1	0	PA1	Porites	P porites	3	3	37	No	No	No	Gain	No	No	No	No	No	No	Yes	No	No	No	No
85	4	1	1	PA1	Porites	P porites	3.5	0	0	No	No	No	No change	No	No	No	No	No	No	No	No	No	No	No
1CC1_MA1	1	1	0	MA1	Manicinia	Manicinia	2.5	2	18	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
1CC2_PA2	1	1	0	PA2	Porites	P astreoides	1.5	-4	-62	No	No	Yes	Loss	No	No	No	No	No	Yes	Yes	No	Yes	Yes	No
1CC2_PA4	1	1	0	PA4	Porites	P porites	4	2	18	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
1CC2_PA5	1	1	0	PA5	Porites	P porites	4	-6	-100	Yes 	No	Yes	Loss	No	Yes	Yes	No	No	Yes	No	No	Yes	Yes	No
1CC2_PA6	1	1	0	PA6	Porites	P porites	2.5	-6	-100	Yes 	No	Yes	Loss	No	No	No	No	No	Yes	Yes	No	Yes	Yes	No
1CU1_PA1	1	0	0	PA1	Porites	P astreoides	1.5	6	100	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
1CU1_PA2	1	0	0	PA2	Porites	P porites	2	2	18	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
1CU2_AG1	1	0	0	AG1	Agaricia	A agaricites	4	-6	-100	Yes 	No	Yes	Loss	No	Yes	No	No	No	Yes	No	No	Yes	Yes	No
1CU2_AG2	1	0	0	AG2	Agaricia	A humilis	3	3	37	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
1CU2_AG3	1	0	0	AG3	Agaricia	A humilis	3.5	4	62	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
1CU2_MC1	1	0	0	MC1	Montastrea	M cavernosa	4.5	0	0	No	No	No	No change	No	No	No	No	No	Yes	Yes	No	Yes	Yes	No
1CU2_PA1	1	0	0	PA1	Porites	P porites	4	2	18	No	No	No	Gain	No	Yes	No	No	No	No	No	No	Yes	No	No
1CU2_PA4	1	0	0	PA4	Porites	P astreoides	2.5	3	37	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
1CU2_PA5	1	0	0	PA5	Porites	P porites	2.5	3	37	No	Yes	No	Gain	No	No	No	No	No	No	No	No	No	No	No
1CU2_PA7	1	0	0	PA7	Porites	P astreoides	1.5	3	37	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
1NC1_DS1	1	1	1	DS1	Dichocoenia	Dichocoenia	7	-4	-62	No	No	Yes	Loss	No	No	Yes	No	No	Yes	No	Yes	No	No	No
1NC1_PA1	1	1	1	PA1	Porites	P porites	7.5	-2	-18	No	No	Yes	Loss	No	No	Yes	No	No	No	No	Yes	Yes	No	No
1NC1_PA3	1	1	1	PA3	Porites	P porites	3.5	2	18	No	No	No	Gain	No	No	Yes	No	No	No	No	No	Yes	No	No
1NC1_SS1	1	1	1	SS1	Siderastrea	S siderea	18	-1	-5	No	No	Yes	Loss	No	No	No	No	No	Yes	Yes	Yes	Yes	Yes	No
1NC2_AG1	1	1	1	AG1	Agaricia	A humilis	2.5	-2	-18	No	No	Yes	Loss	No	Yes	No	No	No	No	No	Yes	Yes	No	No
1NC2_AG2	1	1	1	AG2	Agaricia	A humilis	4	-3	-37	No	No	Yes	Loss	No	No	Yes	No	No	No	No	No	Yes	No	No
1NC2_AG4	1	1	1	AG4	Agaricia	A humilis	2.5	2	18	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
1NC2_PA2	1	1	1	PA2	Porites	P astreoides	2	-6	-100	Yes 	No	Yes	Loss	No	No	No	No	Yes	No	No	No	No	No	No
1NC2_PP1	1	1	1	PP1	Porites	P porites	2.5	-1	-5	No	No	Yes	Loss	No	No	No	No	No	Yes	Yes	No	Yes	Yes	No
1NU1_AG1	1	0	1	AG1	Agaricia	A humilis	3.5	0	0	No	No	No	No change	No	Yes	No	No	No	No	No	No	Yes	No	No
1NU1_AG3	1	0	1	AG3	Agaricia	A humilis	2	-6	-100	Yes 	No	Yes	Loss	No	No	No	No	No	Yes	Yes	No	Yes	Yes	No
1NU1_DC1	1	0	1	DC1	Dichocoenia	Dichocoenia	2.5	-6	-100	Yes 	No	Yes	Loss	No	Yes	No	No	Yes	Yes	Yes	No	Yes	Yes	No
1NU1_PA1	1	0	1	PA1	Porites	P porites	3	-6	-100	Yes 	Yes	Yes	Loss	No	Yes	Yes	No	No	No	Yes	No	Yes	Yes	No
1NU1_PA2	1	0	1	PA2	Porites	P porites	1.5	0	0	No	No	No	No change	No	Yes	No	No	No	No	No	No	Yes	No	No
1NU1_SS3	1	0	1	SS3	Siderastrea	S siderea	2	-2	-18	No	No	Yes	Loss	Yes	No	No	No	No	Yes	Yes	No	Yes	Yes	No
1NU2_AG1	1	0	1	AG1	Agaricia	A humilis	3	-6	-100	Yes 	No	Yes	Loss	No	Yes	No	No	Yes	No	No	No	No	No	Yes
1NU2_AG2	1	0	1	AG2	Agaricia	A agaricites	3	3	37	No	No	No	Gain	No	No	No	No	No	No	No	No	No	No	No
1NU2_AG5	1	0	1	AG5	Agaricia	A humilis	3	-1	-5	No	No	Yes	Loss	No	Yes	No	No	No	No	No	Yes	Yes	No	No
1NU2_AG6	1	0	1	AG6	Agaricia	A humilis	2.5	0	0	No	No	No	No change	No	No	No	No	No	No	No	No	No	No	No
1NU2_AG8	1	0	1	AG8	Agaricia	A agaricites	1.5	6	300	No	No	No	Gain	No	Yes	No	No	No	No	No	No	Yes	No	No
1NU2_PA1	1	0	1	PA1	Porites	P porites	4.5	-2	-18	No	No	Yes	Loss	No	No	No	No	No	No	No	Yes	Yes	No	No
1NU2_PA3	1	0	1	PA3	Porites	P porites	2	0	0	No	No	No	No change	No	Yes	No	No	No	No	No	No	Yes	No	No
2CC1_PA2	2	1	0	PA2	Porites	P porites	3	-1	-5	No	No	Yes	Loss	No	No	No	No	No	Yes	Yes	No	Yes	Yes	No
2CC1_PA3	2	1	0	PA3	Porites	P porites	4.5	-6	-100	Yes 	No	Yes	Loss	No	No	No	Yes	Yes	No	Yes	No	Yes	Yes	No
2CC1_PA4	2	1	0	PA4	Porites	P porites	3.5	1	5	No	Yes	No	Gain	No	No	No	No	No	No	No	No	No	No	No
2CC1_PP1	2	1	0	PP1	Porites	P porites	3.5	-6	-100	Yes 	No	Yes	Loss	No	Yes	No	Yes	No	No	No	No	Yes	No	No
2CC1_PP2	2	1	0	PP2	Porites	P porites	5	-6	-100	Yes 	No	Yes	Loss	No	Yes	No	No	No	Yes	No	No	Yes	Yes	No
2CC2_AG1	2	1	0	AG1	Agaricia	A humilis	3.5	-6	-100	Yes 	No	Yes	Loss	No	No	No	No	No	Yes	Yes	No	Yes	Yes	No
2CC2_AG2	2	1	0	AG2	Agaricia	A humilis	4	-6	-100	Yes 	No	Yes	Loss	No	Yes	No	Yes	No	Yes	Yes	No	Yes	Yes	No
